"ID" "block" "condition" "time" "time_n" "time_nmd"
"292" 25 1 "Random" 2.611891 -0.162729754475699 -0.392971093886142
"293" 25 2 "Congruent" 2.813825 0.23184439336292 -0.0719315845718225
"294" 25 2 "Incongruent" 2.814803 0.0623809006395205 -0.0703767367497153
"295" 25 2 "Novel" 3.239773 0.841882956182767 0.605250746850404
"296" 25 2 "Random" 3.0820165 0.534887258633597 0.354445685042365
"297" 25 3 "Congruent" 2.612087 -0.387666718545079 -0.392659488392142
"298" 25 3 "Incongruent" 2.904816 0.648669083485482 0.0727280863702637
"299" 25 3 "Novel" 3.6126405 1.38914020693389 1.19804442814854
"300" 25 3 "Random" 3.472674 1.41414310320892 0.97552233439294
"301" 26 1 "Congruent" 1.941029 0.680668799424735 0.462695752908096
"302" 26 1 "Incongruent" 1.543434 -0.829987393345209 -0.730111811671163
"303" 26 1 "Novel" 2.351506 2.2751516548835 1.6941500485753
"304" 26 1 "Random" 1.985193 1.06336065426771 0.595190259333173
"305" 26 2 "Congruent" 1.893694 0.464760484274725 0.320688066520292
"306" 26 2 "Incongruent" 1.675556 -0.0663007542246277 -0.333738313394422
"307" 26 2 "Novel" 1.968373 0.312322754425856 0.544729304753203
"308" 26 2 "Random" 1.966028 0.600210738921975 0.537694171668184
"309" 26 3 "Congruent" 1.652992 -0.339185031815699 -0.401431593961749
"310" 26 3 "Incongruent" 1.430587 -0.988610778670898 -1.06865921604012
"311" 26 3 "Novel" 1.9307585 0.396938258960432 0.431883670029763
"312" 26 3 "Random" 1.663662 -0.0768167031569367 -0.369420988410722
"313" 27 1 "Congruent" 2.255618 0.728909984716796 0.154828079932977
"314" 27 1 "Incongruent" 2.636245 1.08254693301009 1.04272881489123
"315" 27 1 "Novel" 1.788587 -0.817756743597155 -0.934630019855756
"316" 27 1 "Random" 2.54627 1.00923365623696 0.832841264539126
"317" 27 2 "Congruent" 2.099986 -0.260330364951905 -0.208219647062277
"318" 27 2 "Incongruent" 2.344462 0.667642397017632 0.362077310535721
"319" 27 2 "Novel" 1.898116 -0.809322302904869 -0.679128230441863
"320" 27 2 "Random" 2.212546 0.231052606084701 0.054352652661339
"321" 27 3 "Congruent" 1.899758 -0.503418611419418 -0.675297884704956
"322" 27 3 "Incongruent" 2.233203 0.0960098607013839 0.10253989498002
"323" 27 3 "Novel" 1.585257 -1.13799722573854 -1.4089443917712
"324" 27 3 "Random" 2.2892345 0.341405807035358 0.233246360971168
"325" 28 1 "Congruent" 2.561117 -0.103456095241873 -0.664177737967079
"326" 28 1 "Incongruent" 3.752943 0.741452414828537 0.213774203004401
"327" 28 1 "Novel" 2.903293 -0.223179451961267 -0.412115705964205
"328" 28 1 "Random" 4.2537095 0.874288092751346 0.582661037700485
"329" 28 2 "Congruent" 3.36137 0.228021982209518 -0.0746758521060138
"330" 28 2 "Incongruent" 7 1.65459266851525 2.60570053754907
"331" 28 2 "Novel" 3.374247 -0.0511746293540535 -0.0651900822504394
"332" 28 2 "Random" 3.986404 0.77188716127228 0.385751939763914
"333" 28 3 "Congruent" 2.734481 -0.219902177719375 -0.536470119325952
"334" 28 3 "Incongruent" 3.931673 0.504548427841378 0.345434655461247
"335" 28 3 "Novel" 2.467064 -0.664967760746671 -0.733461353112403
"336" 28 3 "Random" 4.190908 0.927290708258777 0.536398664819779
"337" 29 1 "Congruent" 1.8207 0.721410124396446 0.348329571738413
"338" 29 1 "Incongruent" 1.887858 0.672257312846591 0.498121737216582
"339" 29 1 "Novel" 2.1606955 0.875309538319752 1.10667053183003
"340" 29 1 "Random" 1.458277 -0.401372620959767 -0.460034673609786
"341" 29 2 "Congruent" 1.410871 -0.0723604967186102 -0.565771107045237
"342" 29 2 "Incongruent" 1.905062 1.08759997733839 0.536494297669341
"343" 29 2 "Novel" 1.808142 0.149058949870462 0.320319654616479
"344" 29 2 "Random" 1.4085 -0.215967915198474 -0.571059490027886
"345" 29 3 "Congruent" 1.58033 -0.244800248535216 -0.187802278763201
"346" 29 3 "Incongruent" 1.6002365 -0.0671183382603501 -0.14340194310563
"347" 29 3 "Novel" 1.811833 0.19295254578371 0.328552223823125
"348" 29 3 "Random" 1.250265 -0.562221029257638 -0.923993813629513
"349" 30 1 "Congruent" 2.411628 0.466238970896251 0.375684190387269
"350" 30 1 "Incongruent" 2.524439 0.727259700486406 0.493644002909266
"351" 30 1 "Novel" 2.725779 0.803126325820067 0.704173371970607
"352" 30 1 "Random" 2.214816 0.378485367702665 0.16988948400155
"353" 30 2 "Congruent" 1.876999 0.226838802872063 -0.183345838677474
"354" 30 2 "Incongruent" 1.87627 -0.145195910133209 -0.184108111003121
"355" 30 2 "Novel" 2.145567 0.350080462762506 0.0974798869114103
"356" 30 2 "Random" 2.057148 0.192367468791349 0.00502535088759697
"357" 30 3 "Congruent" 1.141979 -0.669818425050962 -0.951912923446852
"358" 30 3 "Incongruent" 1.5420105 -0.473267656758385 -0.533623565645811
"359" 30 3 "Novel" 1.3638915 -0.228087294325325 -0.719872103878834
"360" 30 3 "Random" 1.5091355 -0.397494563529193 -0.567999015173434
"361" 31 1 "Congruent" 3.057625 -0.455188713680727 -0.472378481967151
"362" 31 1 "Incongruent" 3.7884045 0.655959622492219 0.315583368720854
"363" 31 1 "Novel" 4.444249 0.787114140064259 1.0227466730877
"364" 31 1 "Random" 2.971605 -0.30500645660246 -0.565129412167276
"365" 31 2 "Congruent" 3.1045205 -0.491368503513773 -0.421813482580962
"366" 31 2 "Incongruent" 3.687286 0.464591869437696 0.206552504556225
"367" 31 2 "Novel" 3.273201 -0.178999573079537 -0.23993399779112
"368" 31 2 "Random" 3.3178155 0.239336827867353 -0.191828483080431
"369" 31 3 "Congruent" 3.3627665 -0.0797866101668628 -0.143360137772063
"370" 31 3 "Incongruent" 4.088585 0.908816289514955 0.639252522440205
"371" 31 3 "Novel" 3.420249 0.214395683657315 -0.0813797222265079
"372" 31 3 "Random" 4.132823 0.903135662059376 0.686952076615898
"373" 32 1 "Congruent" 7 3.44568527831493 5.13769375563928
"374" 32 1 "Incongruent" 2.704395 0.926213337369233 0
"375" 32 1 "Novel" 4.391121 2.44406211234028 2.0173832644469
"376" 32 1 "Random" 2.87999 1.30154990051913 0.21001775885387
"377" 32 2 "Congruent" 2.392256 -0.1947937886547 -0.373329156473067
"378" 32 2 "Incongruent" 2.4332465 -0.250691818096691 -0.324303085432892
"379" 32 2 "Novel" 2.976549 0.249278304112776 0.325505698585474
"380" 32 2 "Random" 2.992577 0.338880405530372 0.344675746929161
"381" 32 3 "Congruent" 2.278665 -0.417205698991671 -0.509187963648499
