"ID" "condition" "time" "time_n" "time_nmd"
"37" 10 "Congruent" 4.0329835 0.995129686545291 0.939224466985772
"38" 10 "Incongruent" 2.882563 0.248773494287732 -0.160121402132928
"39" 10 "Novel" 2.481714 -0.252773386214735 -0.543174113980779
"40" 10 "Random" 3.130087 0.434285103100919 0.0764134013652169
"41" 11 "Congruent" 1.945171 0.482823572607488 -0.261346061189732
"42" 11 "Incongruent" 2.033103 1.15282189318863 -0.0289914746226682
"43" 11 "Novel" 2.125076 1.03990752738755 0.214041191418505
"44" 11 "Random" 1.941573 0.376547461538089 -0.270853541998406
"45" 12 "Congruent" 1.678039 0.120359102094237 -0.190830019180573
"46" 12 "Incongruent" 1.813018 0.439239979821754 0.390550076947957
"47" 12 "Novel" 1.764362 0.500822846254772 0.180979477393732
"48" 12 "Random" 1.632511 -0.356240664090916 -0.386927730798971
"49" 13 "Congruent" 1.742434 -0.0684566979520288 -0.41960957196656
"50" 13 "Incongruent" 2.120605 0.933345073390911 0.469240445202593
"51" 13 "Novel" 1.826961 -0.140919698992583 -0.220938004339066
"52" 13 "Random" 2.099962 0.999392649881787 0.420721307287675
"53" 14 "Congruent" 2.769387 -0.122956192866692 -0.443959806582312
"54" 14 "Incongruent" 3.3735885 1.05708687904924 0.258018046241506
"55" 14 "Novel" 3.173162 0.379761902015375 0.0251570485131107
"56" 14 "Random" 3.39537 0.54229640037113 0.283324389574454
"57" 15 "Congruent" 2.904714 0.72673497179604 0.371705479299794
"58" 15 "Incongruent" 2.2003205 -0.232448818771089 -0.568288717364823
"59" 15 "Novel" 2.6016835 0.207129789894905 -0.0326805796464871
"60" 15 "Random" 2.925297 0.794274538708622 0.399172939675206
"61" 16 "Congruent" 2.112695 1.14750080174626 0.563003989546924
"62" 16 "Incongruent" 1.342712 -0.850410771440687 -0.976447923418137
"63" 16 "Novel" 1.87789 0.310276437072213 0.0935507595096882
"64" 16 "Random" 1.967844 0.381179580076014 0.273398700800417
"65" 17 "Congruent" 2.746323 0.671925138872559 0.0417207471207064
