"ID" "condition" "block" "time" "time_n" "time_nmd" "dist" "hits"
"22" 10 "Random" 1 4.309948 1.23139968921542 1.20389271565443 0.069605315 2.5
"23" 10 "Random" 2 2.970885 0.0656521297020761 -0.0757205888196202 0.05547443 3.5
"24" 10 "Random" 3 2.771254 0.0058034903852621 -0.266488673357435 0.06607441 2.5
"25" 11 "Congruent" 1 1.962599 1.14127363422294 -0.215293705566173 0.014416035 10
"26" 11 "Congruent" 2 1.920939 0.106874601180437 -0.325377543945647 0.01504105 11.5
"27" 11 "Congruent" 3 2.120331 0.200322482419083 0.201502837767267 0.016048535 10.5
"28" 11 "Incongruent" 1 3.0604345 4.16645418076839 2.68566514583201 0.04284749 5.5
"29" 11 "Incongruent" 2 1.891564 -0.436338264187022 -0.402999069447255 0.03625186 5.5
"30" 11 "Incongruent" 3 1.965648 -0.0398323687401227 -0.20723692152347 0.03787234 5.5
"31" 11 "Novel" 1 2.99217 3.04062169963951 2.50528064787101 0.04187684 1
"32" 11 "Novel" 2 2.099795 0.182504543816279 0.147237794441274 0.05162121 3
"33" 11 "Novel" 3 2.052992 -0.103403661293129 0.0235639133161064 0.051580785 1.5
"34" 11 "Random" 1 2.011282 1.25652099368214 -0.086652046808902 0.068706565 1
"35" 11 "Random" 2 1.806433 -0.075841439060809 -0.627952195829468 0.06549322 2
"36" 11 "Random" 3 1.7981795 -0.0866692226358215 -0.649761532364873 0.068931445 1.5
"37" 12 "Congruent" 1 1.675081 -0.214357212086414 -0.203570684945975 0.022664115 10.5
"38" 12 "Congruent" 2 1.739793 0.526628431826657 0.0751561450103099 0.03483074 10.5
"39" 12 "Congruent" 3 1.655564 0.0488060865424678 -0.287634097300049 0.03056618 12
"40" 12 "Incongruent" 1 1.851064 0.275842669778206 0.554421398689162 0.035074875 7
"41" 12 "Incongruent" 2 1.763968 0.467465543100783 0.17928244483404 0.03342954 6.5
"42" 12 "Incongruent" 3 1.813018 0.574411726586273 0.390550076947957 0.039399935 7
"43" 12 "Novel" 1 1.763259 0.38084299769496 0.176228647664442 0.08498833 0
"44" 12 "Novel" 2 2.011237 0.771121390398687 1.24431682047474 0.07767715 0
"45" 12 "Novel" 3 1.763836 0.350504150670669 0.178713895854651 0.07809583 0
"46" 12 "Random" 1 1.565376 -0.379337469395226 -0.676090880278436 0.07098208 1.5
"47" 12 "Random" 2 1.607727 -0.401920062568993 -0.493677108868519 0.068104885 2
"48" 12 "Random" 3 1.633494 -0.287464460308529 -0.382693763778217 0.06686901 2
"49" 13 "Congruent" 1 2.208926 0.884421065421932 0.676829399316994 0.01538161 15
"50" 13 "Congruent" 2 1.676885 -0.24965924972957 -0.573675404025129 0.010580205 16.5
"51" 13 "Congruent" 3 1.519104 -0.840131909548448 -0.944522572525533 0.01055301 15.5
"52" 13 "Incongruent" 1 2.47818 1.85851165718354 1.3096817928714 0.01685072 8.5
"53" 13 "Incongruent" 2 1.898267 0.190967977705607 -0.0533409666913788 0.013486075 10
"54" 13 "Incongruent" 3 1.965672 0.750555585283582 0.105087192546868 0.011992115 11
"55" 13 "Novel" 1 1.98638 0.415491143135912 0.153759105928747 0.054890435 1
"56" 13 "Novel" 2 1.760958 -0.164025074910399 -0.37607091427456 0.044880025 2.5
"57" 13 "Novel" 3 1.588223 -0.674225165203264 -0.782065841743123 0.04671589 2.5
"58" 13 "Random" 1 2.319261 2.15237083829791 0.936159878503284 0.076322145 2
"59" 13 "Random" 2 1.966256 0.736016965609368 0.106459821357715 0.0656658 5.5
"60" 13 "Random" 3 1.808538 0.109790145738089 -0.264239272459328 0.05254492 3
"61" 14 "Congruent" 1 3.306542 0.748672097868432 0.18012158602194 0.012268495 12.5
"62" 14 "Congruent" 2 2.413064 -0.677491491515418 -0.857945628285406 0.0118984 12.5
"63" 14 "Congruent" 3 2.770052 -0.44004918495309 -0.443187191366812 0.011545865 12
"64" 14 "Incongruent" 1 5.653196 2.4852367993335 2.90652848213263 0.02523828 10.5
"65" 14 "Incongruent" 2 3.102625 0.177033716928737 -0.0567947702172857 0.02855778 12
"66" 14 "Incongruent" 3 3.219077 0.618847807061202 0.0785023532043529 0.02977186 11.5
"67" 14 "Novel" 1 4.088138 1.74352219308626 1.08820122808785 0.06875666 0
"68" 14 "Novel" 2 2.727001 -0.27513940497106 -0.493205022408143 0.073150925 0
"69" 14 "Novel" 3 2.612691 -0.329097082069081 -0.626013511556698 0.086543215 1
"70" 14 "Random" 1 4.623188 1.88313300287072 1.70983697403251 0.0707744 3.5
"71" 14 "Random" 2 3.03824 -0.118743317372944 -0.131599026833765 0.06596586 2
